snapshot_date,team,net_rank,prev_rank,record,conf,quad1,quad2,quad3,quad4,source_url
2026-03-12,Utah,59,59,18-12,Big 12,2-2,4-9,1-1,11-0,https://www.ncaa.com/rankings/basketball-women/d1/ncaa-womens-basketball-net-rankings
2026-03-12,Utah St.,292,292,5-24,Mountain West,0-1,0-1,0-7,5-15,https://www.ncaa.com/rankings/basketball-women/d1/ncaa-womens-basketball-net-rankings
2026-03-12,Utah Tech,258,258,8-20,WAC,0-0,0-1,0-3,8-16,https://www.ncaa.com/rankings/basketball-women/d1/ncaa-womens-basketball-net-rankings
2026-03-12,Utah Valley,184,183,14-14,WAC,0-0,0-1,2-3,12-10,https://www.ncaa.com/rankings/basketball-women/d1/ncaa-womens-basketball-net-rankings
2026-03-12,VCU,240,240,8-23,Atlantic 10,0-4,0-6,0-4,8-9,https://www.ncaa.com/rankings/basketball-women/d1/ncaa-womens-basketball-net-rankings
2026-03-12,Valparaiso,357,357,0-32,MVC,0-1,0-0,0-4,0-27,https://www.ncaa.com/rankings/basketball-women/d1/ncaa-womens-basketball-net-rankings
2026-03-12,Vanderbilt,7,7,27-4,SEC,8-4,6-0,5-0,8-0,https://www.ncaa.com/rankings/basketball-women/d1/ncaa-womens-basketball-net-rankings
2026-03-12,Vermont,82,83,24-7,America East,0-1,0-0,2-1,22-5,https://www.ncaa.com/rankings/basketball-women/d1/ncaa-womens-basketball-net-rankings
2026-03-12,Villanova,35,35,25-7,Big East,2-3,2-3,6-1,15-0,https://www.ncaa.com/rankings/basketball-women/d1/ncaa-womens-basketball-net-rankings
2026-03-12,Virginia,36,36,19-11,ACC,3-6,2-4,3-0,11-1,https://www.ncaa.com/rankings/basketball-women/d1/ncaa-womens-basketball-net-rankings
2026-03-12,Virginia Tech,41,41,23-9,ACC,3-7,4-1,5-1,11-0,https://www.ncaa.com/rankings/basketball-women/d1/ncaa-womens-basketball-net-rankings
2026-03-12,Wagner,332,333,11-17,NEC,0-1,0-2,0-0,11-14,https://www.ncaa.com/rankings/basketball-women/d1/ncaa-womens-basketball-net-rankings
2026-03-12,Wake Forest,127,128,14-17,ACC,0-8,0-5,1-1,13-3,https://www.ncaa.com/rankings/basketball-women/d1/ncaa-womens-basketball-net-rankings
2026-03-12,Washington,26,26,21-10,Big Ten,6-7,2-3,2-0,11-0,https://www.ncaa.com/rankings/basketball-women/d1/ncaa-womens-basketball-net-rankings
2026-03-12,Washington St.,227,227,9-25,WCC,0-2,0-6,1-9,8-8,https://www.ncaa.com/rankings/basketball-women/d1/ncaa-womens-basketball-net-rankings
2026-03-12,Weber St.,254,254,8-22,Big Sky,0-1,0-5,1-3,7-13,https://www.ncaa.com/rankings/basketball-women/d1/ncaa-womens-basketball-net-rankings
2026-03-12,West Ga.,236,236,16-13,ASUN,0-1,0-2,0-2,16-8,https://www.ncaa.com/rankings/basketball-women/d1/ncaa-womens-basketball-net-rankings
2026-03-12,West Virginia,18,18,27-6,Big 12,3-3,10-3,3-0,11-0,https://www.ncaa.com/rankings/basketball-women/d1/ncaa-womens-basketball-net-rankings
2026-03-12,Western Caro.,354,354,0-26,SoCon,0-1,0-2,0-1,0-22,https://www.ncaa.com/rankings/basketball-women/d1/ncaa-womens-basketball-net-rankings
2026-03-12,Western Ill.,89,89,23-5,OVC,0-1,0-0,3-0,20-4,https://www.ncaa.com/rankings/basketball-women/d1/ncaa-womens-basketball-net-rankings
2026-03-12,Western Ky.,295,294,7-21,CUSA,0-2,0-2,0-1,7-16,https://www.ncaa.com/rankings/basketball-women/d1/ncaa-womens-basketball-net-rankings
2026-03-12,Western Mich.,266,266,9-19,MAC,0-2,0-1,0-4,9-12,https://www.ncaa.com/rankings/basketball-women/d1/ncaa-womens-basketball-net-rankings
2026-03-12,Wichita St.,263,263,7-23,American,0-1,0-3,1-1,6-18,https://www.ncaa.com/rankings/basketball-women/d1/ncaa-womens-basketball-net-rankings
2026-03-12,William & Mary,220,225,16-13,CAA,0-0,0-2,1-1,15-10,https://www.ncaa.com/rankings/basketball-women/d1/ncaa-womens-basketball-net-rankings
2026-03-12,Winthrop,305,305,12-17,Big South,0-3,0-1,0-0,12-13,https://www.ncaa.com/rankings/basketball-women/d1/ncaa-womens-basketball-net-rankings
2026-03-12,Wisconsin,85,86,13-17,Big Ten,2-11,1-4,0-1,10-1,https://www.ncaa.com/rankings/basketball-women/d1/ncaa-womens-basketball-net-rankings
2026-03-12,Wofford,235,234,13-13,SoCon,0-1,0-1,0-2,13-9,https://www.ncaa.com/rankings/basketball-women/d1/ncaa-womens-basketball-net-rankings
2026-03-12,Wright St.,294,293,8-22,Horizon,0-1,0-0,0-1,8-20,https://www.ncaa.com/rankings/basketball-women/d1/ncaa-womens-basketball-net-rankings
2026-03-12,Wyoming,250,250,9-20,Mountain West,0-1,0-4,1-4,8-11,https://www.ncaa.com/rankings/basketball-women/d1/ncaa-womens-basketball-net-rankings
2026-03-12,Xavier,200,201,11-19,Big East,0-3,0-3,2-6,9-7,https://www.ncaa.com/rankings/basketball-women/d1/ncaa-womens-basketball-net-rankings
2026-03-12,Yale,270,271,7-20,Ivy League,0-1,0-3,0-6,7-10,https://www.ncaa.com/rankings/basketball-women/d1/ncaa-womens-basketball-net-rankings
2026-03-12,Youngstown St.,136,134,22-9,Horizon,0-1,0-0,1-2,21-6,https://www.ncaa.com/rankings/basketball-women/d1/ncaa-womens-basketball-net-rankings
